mean,std,min,max,range,rms,skewness,kurtosis,hr_mean,hr_std,rr_mean,rr_std,lf_power,hf_power,lf_hf_ratio,label,segment_id
9.063377977103332e-05,0.13521576389678733,-0.5275074461810928,0.5167527450098769,1.0442601911909697,0.13521579427224387,0.49334431754950114,1.5664795322610772,77.85642062689585,6.242836236832175,0.7706493506493507,0.09047260706671648,0,2.2563970485798848e-05,0.0,N,0
3.1654260132030356e-05,0.13339913542751508,-0.49781614957937764,0.5160785634752445,1.013894713054622,0.13339913918313226,0.4326365001194394,1.7212076102444618,80.0135043889264,1.611556940197681,0.7498734177215189,0.015135980344114083,0,2.1792126239851953e-05,0.0,N,1
-0.00011044262383449911,0.13099310387943996,-0.5209349479120486,0.5297856336041942,1.0507205815162428,0.13099315043750534,0.30886031225871785,1.9595561446162195,80.29815348128068,4.52194652088878,0.747215189873418,0.059511443615211344,0,1.8622591926077895e-05,0.0,N,2
5.4281111498255206e-05,0.14290790617423962,-0.6479235608670455,0.5937577647503648,1.2416813256174102,0.1429079164831128,0.2707454197377543,2.4497764998801435,83.27759197324416,2.5722803819809155,0.7204819277108433,0.022436180680161386,0,3.3441170485981696e-05,0.0,N,3
-7.917638374677515e-06,0.13921487531807836,-0.6599084577119152,0.6512429082627218,1.311151365974637,0.13921487554323028,0.27877505196873975,3.202787975756247,82.80797410120975,2.989902837505869,0.7245679012345678,0.026389737189455257,0,2.136943018693171e-05,0.0,N,4
-0.0001825190050624346,0.13895438512045194,-0.5926379170625922,0.6327628340832316,1.2254007511458238,0.13895450499134632,0.407479959004104,2.867218640229453,78.54984894259819,6.1121316277658355,0.7638461538461538,0.06469317661540296,0,3.175340716147038e-05,0.0,N,5
-0.00020626951636845873,0.1528857055309396,-1.6962659548458994,1.156924755954803,2.8531907108007024,0.15288584467767627,-0.28078169770630457,10.449836535423715,73.97399087991893,13.925725505403186,0.8110958904109589,0.1401815031262246,0,0.00012094834870557617,0.0,N,6
0.0005196555778539664,0.13395449029477804,-0.5684231651252746,0.6391664954855982,1.2075896606108727,0.13395549825241732,0.2645869121836111,2.4146249161684317,77.62096774193549,9.831182140188078,0.7729870129870129,0.09590396894763493,0,3.7131331591506336e-05,0.0,N,7
-0.0002782394271495889,0.1933049867200238,-1.7021900314733107,2.246641852418633,3.948831883891944,0.19330518696612206,0.35602292037245215,15.347900854982537,85.61236623067776,12.586564697295476,0.7008333333333333,0.09056973547563768,0,0.0010131051339637626,0.0,N,8
4.323095783039762e-06,0.12469388390695753,-0.34047039483297625,0.7694385489097535,1.1099089437427296,0.12469388398189768,2.1134366409255136,6.4643604658505875,75.27601204416192,1.8749771542518179,0.7970666666666668,0.02018404210151066,0,4.776918890594419e-05,0.0,N,9
